dataset,loss,query,orig_top1_id,orig_top1_excerpt,tgt_id,tgt_excerpt,suffix,suffix_len,suffix_token_ids,baseline_rank,final_rank,delta_rank,delta_cos,delta_ndcg,success,iter_used,pos_rank,pos_excerpt
msmarco,hinge,"what is the term for studies that have the structure of experiments except that they use groups that already exist, instead of randomly assigning participants to control and experimental groups?",3415147,"The independent variable, also known as the manipulated variable, lies at the heart of any quantitative experimental des",3971801,Best Answer: Doctor of Osteopathy I prefer these docs over MDs they are more concerned with your whole self not just tre,enthusiastically goals songwriting tamil ns,5,"[24935, 3289, 14029, 6008, 24978]",100,12,88,0.07111191749572754,0.12004767120363177,0,3100,,
msmarco,hinge,"collagen, the most abundant protein in the body, plays a role in which of the following functions?",701771,In what type of government does a monarch have complete control over the people?,1229111,"However, having a general guideline might be able to help when pricing a job or getting quotes from trim installation te",sellers piercing strongly risky pretending,5,"[19041, 14628, 6118, 19188, 12097]",100,8,92,0.05797982215881348,0.1652743935620408,0,4500,,
msmarco,hinge,why is the moist adiabatic lapse rate less than the dry adiabatic lapse rate?,701771,In what type of government does a monarch have complete control over the people?,5024216,"As an example, if you purchase a brand new Vauxhall Corsa, you are advised that the cambelt should be replaced every 40,",ramp leonard ≈ ##cini →,5,"[13276, 7723, 1606, 27085, 1585]",100,8,92,-0.04483842849731445,0.1652743935620408,0,5700,,
msmarco,hinge,who wrote the eagle has flown?????????????????,4970199,How would you define american protective association? All the definitions on AZdictionary were written by people just li,6360692,Roger Federer has one more goal left in mind. In an interview with Christopher Clarey of The New York Times ahead of a T,staged bwf horses dorsal races,5,"[9813, 21215, 5194, 12759, 3837]",100,5,95,0.012345671653747559,0.23666232401085366,0,5000,,
msmarco,hinge,where is blood coming from when it enters the tricuspid valve and passes into the right ventricle?,701771,In what type of government does a monarch have complete control over the people?,6960338,"Report Abuse. Dna is a double helix structure. each molecule is made up of a phosphate molecule, a hexose sugar, and a n",##ц encoded [unused191] lobster bee,5,"[29751, 12359, 196, 27940, 10506]",100,1,99,0.03434264659881592,0.849809516776312,1,2000,,
msmarco,hinge,which of these terms is defined as words that are spelled the same but have different meanings and pronunciations?,701771,In what type of government does a monarch have complete control over the people?,5406453,"An Interview With Steven Ogg, The Voice Of GTA V's Trevor He talks make-believe, motion capture, and meth.",ashes ##kos televised bates arm,5,"[11289, 15710, 13762, 11205, 2849]",100,1,99,0.06943994760513306,0.849809516776312,1,1200,,
msmarco,hinge,when was the little prince book published?aaaaaasdffffffffffffffffff,1785278,Message from Hopwood-Globe Metal Finishing... Read more Less. Provided by CitySearch,852264,"1 Juices and soft drinks should be avoided. 2  Eat as tolerated, but only light, bland foods, such as crackers or plain ",installing knuckles interfered 1960 bwf,5,"[23658, 13513, 28976, 3624, 21215]",100,37,63,-0.09845834970474243,0.04036092920308543,0,3700,,
msmarco,hinge,how many oscars has clint eastwood won?;jkll;lkjlkj;klj;lkjl;jl;kj;lk;llklkkjklkljjkj;llkk;;jkl;j;lklkkjkjkjlkjjl;lj;;,7096897,White Pages; FEATURES; City Guides; Featured Businesses; Popular Categories; Enlighten Me; Lottery Results; Weather Fore,5159239,"For more information, see the weather forecast and our average climate infomation (by month in graphs) below. * Data fro",1679 sevens ##ᄆ interfered details,5,"[27924, 19463, 29995, 28976, 4751]",100,19,81,0.11885571479797363,0.08118772993607118,0,2900,,
msmarco,hinge,what is the rhythmic wavelike muscular contraction of the esophagus that helps work the food down into the stomach called?,701771,In what type of government does a monarch have complete control over the people?,5008944,Congress passed two bills that will help rewrite the rules for our trade policy: Trade Promotion Authority and the Trade,stadiums leagues denim sponsored godfrey,5,"[28244, 8121, 26762, 6485, 18238]",100,1,99,0.07092320919036865,0.849809516776312,1,1600,,
msmarco,hinge,"what is the name of the condition characterized by disordered eating, lack of menstrual periods, and osteoporosis?",701771,In what type of government does a monarch have complete control over the people?,3971801,Best Answer: Doctor of Osteopathy I prefer these docs over MDs they are more concerned with your whole self not just tre,senior sweden never pill whenever,5,"[3026, 4701, 2196, 17357, 7188]",100,11,89,0.030968546867370605,0.1287524624274419,0,6000,,
msmarco,cos,"what is the term for studies that have the structure of experiments except that they use groups that already exist, instead of randomly assigning participants to control and experimental groups?",3415147,"The independent variable, also known as the manipulated variable, lies at the heart of any quantitative experimental des",3971801,Best Answer: Doctor of Osteopathy I prefer these docs over MDs they are more concerned with your whole self not just tre,##boy fingertips sa honestly grassroots,5,"[11097, 12206, 7842, 9826, 23299]",100,21,79,0.07317847013473511,0.07405334099388747,0,5000,,
msmarco,cos,"collagen, the most abundant protein in the body, plays a role in which of the following functions?",701771,In what type of government does a monarch have complete control over the people?,1229111,"However, having a general guideline might be able to help when pricing a job or getting quotes from trim installation te",##dr conversely ##= assess specialty,5,"[13626, 18868, 29630, 14358, 12233]",100,20,80,0.07356381416320801,0.07747976547326502,0,4900,,
msmarco,cos,why is the moist adiabatic lapse rate less than the dry adiabatic lapse rate?,701771,In what type of government does a monarch have complete control over the people?,5024216,"As an example, if you purchase a brand new Vauxhall Corsa, you are advised that the cambelt should be replaced every 40,",bop affluent courier behaviour gearbox,5,"[29432, 22666, 18092, 9164, 22227]",100,41,59,0.041006267070770264,0.035258540191680926,0,5100,,
msmarco,cos,who wrote the eagle has flown?????????????????,4970199,How would you define american protective association? All the definitions on AZdictionary were written by people just li,6360692,Roger Federer has one more goal left in mind. In an interview with Christopher Clarey of The New York Times ahead of a T,underway hbo bathed 1787 ##kovsky,5,"[14128, 14633, 24614, 16057, 23829]",100,31,69,0.06675130128860474,0.04980951677631204,0,4500,,
msmarco,cos,where is blood coming from when it enters the tricuspid valve and passes into the right ventricle?,701771,In what type of government does a monarch have complete control over the people?,6960338,"Report Abuse. Dna is a double helix structure. each molecule is made up of a phosphate molecule, a hexose sugar, and a n",bacteria seminary ##oche ನ access,5,"[10327, 8705, 23555, 1400, 3229]",100,15,85,0.06263309717178345,0.09980951677631203,0,3700,,
msmarco,cos,which of these terms is defined as words that are spelled the same but have different meanings and pronunciations?,701771,In what type of government does a monarch have complete control over the people?,5406453,"An Interview With Steven Ogg, The Voice Of GTA V's Trevor He talks make-believe, motion capture, and meth.",carpet erect 正 spat interviews,5,"[10135, 14908, 1888, 14690, 7636]",100,2,98,0.10542052984237671,0.48073927034776953,0,4800,,
msmarco,cos,when was the little prince book published?aaaaaasdffffffffffffffffff,1785278,Message from Hopwood-Globe Metal Finishing... Read more Less. Provided by CitySearch,852264,"1 Juices and soft drinks should be avoided. 2  Eat as tolerated, but only light, bland foods, such as crackers or plain ",violations tongue onset less potentially,5,"[13302, 4416, 14447, 2625, 9280]",100,41,59,0.04544144868850708,0.035258540191680926,0,2900,,
msmarco,cos,how many oscars has clint eastwood won?;jkll;lkjlkj;klj;lkjl;jl;kj;lk;llklkkjklkljjkj;llkk;;jkl;j;lklkkjkjkjlkjjl;lj;;,7096897,White Pages; FEATURES; City Guides; Featured Businesses; Popular Categories; Enlighten Me; Lottery Results; Weather Fore,5159239,"For more information, see the weather forecast and our average climate infomation (by month in graphs) below. * Data fro",oxford localized contain ##ট thrown,5,"[4345, 22574, 5383, 29895, 6908]",100,19,81,0.1521638035774231,0.08118772993607118,0,2900,,
msmarco,cos,what is the rhythmic wavelike muscular contraction of the esophagus that helps work the food down into the stomach called?,701771,In what type of government does a monarch have complete control over the people?,5008944,Congress passed two bills that will help rewrite the rules for our trade policy: Trade Promotion Authority and the Trade,##deck 57th splits ##udge downloadable,5,"[26547, 28623, 19584, 15979, 26720]",100,6,94,0.11377346515655518,0.2060167038843342,0,5600,,
msmarco,cos,"what is the name of the condition characterized by disordered eating, lack of menstrual periods, and osteoporosis?",701771,In what type of government does a monarch have complete control over the people?,3971801,Best Answer: Doctor of Osteopathy I prefer these docs over MDs they are more concerned with your whole self not just tre,taut ##xious aires function alright,5,"[21642, 25171, 9149, 3853, 10303]",100,33,67,0.04625934362411499,0.04637114900913464,0,4100,,
